Test name                                , #,Average,First,Max  ,Min  ,Std.Dev,Comment        
Big int custom HT: 1 Adding items        , 8,  0.413,0.514,0.514,0.390,  0.041,               
Big int custom HT: 2 Running queries     , 8,  0.078,0.078,0.078,0.078,  0.000,50% misses     
Big int custom HT: 3 Removing items      , 8,  0.148,0.156,0.156,0.140,  0.008,5000000 removed
Big int hashtable: 1 Adding items        , 5,  3.445,3.463,3.573,3.370,  0.081,               
Big int hashtable: 2 Running queries     , 5,  1.270,1.264,1.311,1.248,  0.024,50% misses     
Big int hashtable: 3 Removing items      , 5,  1.706,1.700,1.747,1.684,  0.024,5000000 removed
Big int sorted map: 1 Adding items       , 8,  2.601,2.683,2.683,2.574,  0.034,               
Big int sorted map: 2 Running queries    , 8,  0.776,0.780,0.795,0.749,  0.014,50% misses     
Big int sorted map: 3 Removing items     , 8,  1.728,1.778,1.778,1.700,  0.023,5000000 removed
Big string custom HT: 0 Ints to strings  , 4,  0.979,0.967,0.983,0.967,  0.008,               
Big string custom HT: 1 Adding/setting   , 4,  4.630,5.289,5.289,4.321,  0.452,               
Big string custom HT: 2 Running queries  , 4,  2.741,2.714,2.808,2.714,  0.045,50% misses     
Big string custom HT: 3 Removing items   , 4,  3.023,3.026,3.027,3.011,  0.008,5000000 removed
Big string hashtable: 0 Ints to strings  , 4,  0.971,0.983,0.983,0.967,  0.008,               
Big string hashtable: 1 Adding/setting   , 4,  5.390,5.429,5.429,5.366,  0.030,               
Big string hashtable: 2 Running queries  , 4,  1.747,1.762,1.763,1.732,  0.018,50% misses     
Big string hashtable: 3 Removing items   , 4,  2.321,2.340,2.340,2.309,  0.015,5000000 removed
Generic sum: double                      ,10,  0.045,0.047,0.047,0.031,  0.005,    89239683200
Generic sum: FPI8                        ,10,  0.045,0.046,0.047,0.031,  0.005,    89239683200
Generic sum: int                         ,10,  0.045,0.047,0.047,0.031,  0.005,    89239683200
Generic sum: int without template        ,10,  0.039,0.047,0.047,0.031,  0.008,    89239683200
Matrix multiply: <double>[n*n]           , 5,  1.442,1.436,1.451,1.435,  0.009,-95583583333300
Matrix multiply: <float>[n*n]            , 5,  1.298,1.294,1.310,1.294,  0.007,-95583591202816
Matrix multiply: <int>[n*n]              , 5,  0.917,0.921,0.936,0.905,  0.013,      913839180
Matrix multiply: double[n*n]             , 5,  1.444,1.450,1.466,1.435,  0.014,     -95.583583
Polynomials                              , 5,  4.702,4.680,4.726,4.680,  0.018,21677722.000000
Simple arithmetic: double                , 5,  2.543,2.543,2.558,2.527,  0.011,               
Simple arithmetic: float                 , 5,  0.474,0.468,0.484,0.468,  0.009,               
Simple arithmetic: FPI8                  , 5,  0.424,0.421,0.437,0.421,  0.007,               
Simple arithmetic: FPL16                 , 5,  1.251,1.248,1.264,1.248,  0.007,               
Simple arithmetic: Int                   , 5,  0.296,0.296,0.297,0.296,  0.001,               
Simple arithmetic: Int64                 , 5,  0.312,0.312,0.312,0.312,  0.000,               
Simple parsing: 1 Read to end (FILE* x20), 5,  0.019,0.015,0.032,0.015,  0.007,               
Simple parsing: 1 Read to end (ifstr.x20), 5,  0.025,0.032,0.032,0.015,  0.009,               
Simple parsing: 2 Read lines (FILE* x20) , 5,  0.141,0.141,0.141,0.140,  0.001,               
Simple parsing: 2 Read lines (ifstr.x20) , 5,  0.268,0.312,0.312,0.249,  0.028,               
Simple parsing: 3 Parse (x20)            , 5,  0.072,0.078,0.078,0.062,  0.008,               
Simple parsing: 4 Sort (x20)             , 5,  0.218,0.218,0.218,0.218,  0.000,               
Square root: double                      , 5,  0.075,0.078,0.078,0.063,  0.007,               
Square root: FPL16                       , 5,  1.114,1.123,1.123,1.107,  0.009,               
Square root: uint32                      , 5,  0.390,0.390,0.390,0.390,  0.000,               
Square root: uint64                      , 5,  0.412,0.405,0.421,0.405,  0.008,               
Sudoku                                   , 5,  2.243,2.231,2.277,2.215,  0.023,20x100 puzzles 
