Test name                               , #,Average,First,Max  ,Min  ,Std.Dev,Comment
Big int Dictionary: 1 Adding items      , 8,  0.332,0.343,0.343,0.312,  0.011,               
Big int Dictionary: 2 Running queries   , 8,  0.191,0.203,0.203,0.187,  0.007,75% misses
Big int Dictionary: 3 Removing          , 8,  0.191,0.187,0.203,0.187,  0.007,2500000 removed
Big string Dictionary: 0 Ints to strings, 3,  1.586,1.591,1.591,1.576,  0.009,               
Big string Dictionary: 1 Adding/setting , 3,  5.548,5.507,5.585,5.507,  0.039,               
Big string Dictionary: 2 Running queries, 3,  2.668,2.668,2.683,2.652,  0.016,75% misses
Big string Dictionary: 3 Removing       , 3,  2.683,2.621,2.761,2.621,  0.071,2500000 removed
Generic sum: double                     ,10,  0.343,0.359,0.359,0.327,  0.008,               
Generic sum: FPI8                       ,10,  0.156,0.156,0.172,0.141,  0.007,               
Generic sum: int                        ,10,  0.148,0.156,0.156,0.140,  0.008,               
Generic sum: int via IMath              ,10,  0.540,0.546,0.546,0.530,  0.008,               
Generic sum: int without generics       ,10,  0.144,0.140,0.156,0.140,  0.007,               
P/Invoke: AddDoubles                    , 4,  0.457,0.452,0.468,0.452,  0.008,               
P/Invoke: AddDoublesIndirect            , 4,  4.965,5.039,5.039,4.929,  0.050,               
P/Invoke: AddDoublesIndirect w/o return , 4,  0.437,0.437,0.437,0.437,  0.000,               
P/Invoke: AddFourInts                   , 4,  0.421,0.421,0.421,0.421,  0.000,               
P/Invoke: AddInts                       , 4,  0.414,0.422,0.422,0.405,  0.009,               
P/Invoke: CharStringArgument            , 4,  4.407,4.415,4.415,4.399,  0.009,               
P/Invoke: GetPointY                     , 4,  2.847,2.840,2.855,2.839,  0.009,               
P/Invoke: GetPointYIndirect             , 4,  0.413,0.405,0.421,0.405,  0.009,               
P/Invoke: MakePoint                     , 4,  3.081,3.073,3.089,3.073,  0.009,               
P/Invoke: MakePointIndirect             , 4,  4.352,4.352,4.368,4.337,  0.013,               
P/Invoke: NextInt                       , 4,  0.417,0.421,0.421,0.406,  0.007,               
P/Invoke: ReturnBSTR                    , 4,  5.382,5.476,5.476,5.335,  0.064,               
P/Invoke: ReturnString                  , 4,  4.528,4.571,4.586,4.462,  0.060,               
P/Invoke: ReturnWString                 , 4,  5.991,6.037,6.037,5.975,  0.031,               
P/Invoke: WCharStringArgument           , 4,  0.433,0.452,0.452,0.421,  0.015,               
Simple arithmetic: double               ,10,  0.104,0.094,0.109,0.093,  0.008,               
Simple arithmetic: float                ,10,  0.058,0.062,0.063,0.047,  0.008,               
Simple arithmetic: FPI8                 ,10,  0.051,0.047,0.062,0.046,  0.008,               
Simple arithmetic: FPL16                ,10,  0.329,0.343,0.343,0.327,  0.005,               
Simple arithmetic: int                  ,10,  0.033,0.031,0.047,0.031,  0.005,               
Simple arithmetic: long                 ,10,  0.094,0.094,0.094,0.093,  0.001,               
Simple parsing: 1 Read to end (x20)     , 5,  0.050,0.047,0.063,0.046,  0.007,               
Simple parsing: 2 Read lines (x20)      , 5,  0.072,0.078,0.078,0.062,  0.009,               
Simple parsing: 3 Parse (x20)           , 5,  0.137,0.140,0.141,0.125,  0.007,               
Simple parsing: 4 Sort (x20)            , 5,  0.777,0.780,0.780,0.765,  0.007,               
Square root: double                     , 6,  0.065,0.062,0.078,0.062,  0.006,               
Square root: FPL16                      , 6,  2.626,2.621,2.652,2.605,  0.016,               
Square root: uint                       , 6,  0.466,0.468,0.468,0.453,  0.006,               
Square root: ulong                      , 6,  0.868,0.858,0.874,0.858,  0.008,               
Trivial method calls: Interface NoOp    ,99,  0.032,0.031,0.047,0.031,  0.004,               
Trivial method calls: No-inline NoOp    ,99,  0.025,0.032,0.032,0.015,  0.008,               
Trivial method calls: Static NoOp       ,99,  0.003,0.000,0.016,0.000,  0.006,               
Trivial method calls: Virtual NoOp      ,99,  0.021,0.015,0.032,0.015,  0.008,               
